date_utc,block_time_utc,height_guess,used_height,pool_len,uluna,uusd,lunc,ustc,lcd_used,error
2023-09-10T00:00:00Z,,14520371,14520371,35,1367489296047600.724454531407602008,5797781469798.162359135238571928,1367489296.0476007,5797781.469798162,https://terra-classic-lcd.publicnode.com,
2023-09-17T00:00:00Z,,14621171,14621171,35,1499414849828056.696801592353751561,5891965353427.641828790717676724,1499414849.8280568,5891965.353427642,https://terra-classic-lcd.publicnode.com,
2023-09-24T00:00:00Z,,14721971,14721971,35,1554645785203545.598893730363686317,5959234345262.846996814380707835,1554645785.2035456,5959234.345262847,https://terra-classic-lcd.publicnode.com,
2023-10-01T00:00:00Z,,14822771,14822771,35,1634896189155794.286427716140838901,6011184062655.220612903865525349,1634896189.1557941,6011184.062655221,https://terra-classic-lcd.publicnode.com,
2023-10-08T00:00:00Z,,14923571,14923571,35,1714877110699452.034241162627381770,6047477471625.964133190881369599,1714877110.699452,6047477.471625964,https://terra-classic-lcd.publicnode.com,
2023-10-15T00:00:00Z,,15024371,15024371,35,2109751545067802.073506115670970462,6089942052768.490777281368459258,2109751545.067802,6089942.052768491,https://terra-classic-lcd.publicnode.com,
2023-10-22T00:00:00Z,,15125171,15125171,35,2165982661183057.493476676850734817,6163026714399.876428100060924627,2165982661.1830573,6163026.714399876,https://terra-classic-lcd.publicnode.com,
2023-10-29T00:00:00Z,,15225971,15225971,35,2216392630631266.624026391779966054,6313105716107.753572400979558707,2216392630.6312666,6313105.716107754,https://terra-classic-lcd.publicnode.com,
2023-11-05T00:00:00Z,,15326771,15326771,35,2267149409566492.156583783563849094,6369775468521.169055819683096533,2267149409.566492,6369775.468521169,https://terra-classic-lcd.publicnode.com,
2023-11-12T00:00:00Z,,15427571,15427571,35,2385399256020093.727342137914612568,6671666371134.330398693070200656,2385399256.0200934,6671666.3711343305,https://terra-classic-lcd.publicnode.com,
2023-11-19T00:00:00Z,,15528371,15528371,35,2535983366499827.655144805927489964,6882451169183.343953183851947910,2535983366.4998274,6882451.169183344,https://terra-classic-lcd.publicnode.com,
2023-11-26T00:00:00Z,,15629171,15629171,35,2762260512160138.845043523352320177,7524573787575.877290833749421148,2762260512.160139,7524573.787575877,https://terra-classic-lcd.publicnode.com,
2023-12-03T00:00:00Z,,15729971,15729971,35,3067887455150642.133080917857320074,7706205433031.841327727061679083,3067887455.150642,7706205.433031842,https://terra-classic-lcd.publicnode.com,
2023-12-10T00:00:00Z,,15830771,15830771,35,3247537836006765.120557356330428099,7863509444175.652988482145206244,3247537836.006765,7863509.444175653,https://terra-classic-lcd.publicnode.com,
2023-12-17T00:00:00Z,,15931571,15931571,35,3353484258086282.895691574351530511,7958244314680.472223535167303634,3353484258.086283,7958244.314680473,https://terra-classic-lcd.publicnode.com,
2023-12-24T00:00:00Z,,16032371,16032371,35,3485034214111913.129482777437187791,8033086417718.460573647002981827,3485034214.111913,8033086.417718461,https://terra-classic-lcd.publicnode.com,
2023-12-31T00:00:00Z,,16133171,16133171,35,3602862928546375.850521016820781633,8110766689187.827191583734072070,3602862928.546376,8110766.6891878275,https://terra-classic-lcd.publicnode.com,
2024-01-07T00:00:00Z,,16233971,16233971,37,3690467935739719.338178380840713892,8170392569787.303937338299832657,3690467935.7397194,8170392.569787304,https://terra-classic-lcd.publicnode.com,
2024-01-14T00:00:00Z,,16334771,16334771,37,3755727762249914.911948652879519139,8229516894582.167067125271168751,3755727762.249915,8229516.894582167,https://terra-classic-lcd.publicnode.com,
2024-01-21T00:00:00Z,,16435571,16435571,37,3945008219541033.289685606164104583,8280682064836.753841185416790464,3945008219.5410333,8280682.0648367535,https://terra-classic-lcd.publicnode.com,
2024-01-28T00:00:00Z,,16536371,16536371,37,4079834835403736.601586758928280039,8343488986193.230415041215463591,4079834835.4037366,8343488.98619323,https://terra-classic-lcd.publicnode.com,
2024-02-04T00:00:00Z,,16637171,16637171,37,4029581718162403.287091569813822299,8462655647705.895250569782463210,4029581718.1624036,8462655.647705896,https://terra-classic-lcd.publicnode.com,
2024-02-11T00:00:00Z,,16737971,16737971,37,4108041389572792.961554243097729293,8526074895847.671481439357541825,4108041389.572793,8526074.895847673,https://terra-classic-lcd.publicnode.com,
2024-02-18T00:00:00Z,,16838771,16838771,37,4185902919168650.184758574574784849,8646959332146.066595679562226986,4185902919.16865,8646959.332146067,https://terra-classic-lcd.publicnode.com,
2024-02-25T00:00:00Z,,16939571,16939571,37,4295500404401679.888175999673215703,10709658695845.981899946616796297,4295500404.40168,10709658.695845982,https://terra-classic-lcd.publicnode.com,
2024-03-03T00:00:00Z,,17040371,17040371,37,4520786120998139.481433016177098161,11154522707839.446636536399534908,4520786120.998139,11154522.707839448,https://terra-classic-lcd.publicnode.com,
2024-03-10T00:00:00Z,,17141171,17141171,37,4614251933312765.287943168472764226,11215358360911.776353792974750923,4614251933.312765,11215358.360911775,https://terra-classic-lcd.publicnode.com,
2024-03-17T00:00:00Z,,17241971,17241971,37,4718910901303326.328982533757533193,11296124749037.818012664646687699,4718910901.303326,11296124.749037819,https://terra-classic-lcd.publicnode.com,
2024-03-24T00:00:00Z,,17342771,17342771,37,4812880953886154.888379004144651913,11373472604105.312557200335802858,4812880953.886155,11373472.604105312,https://terra-classic-lcd.publicnode.com,
2024-03-31T00:00:00Z,,17443571,17443571,37,4876337994198133.750453949011313097,11425223706187.037466674084763375,4876337994.198134,11425223.706187038,https://terra-classic-lcd.publicnode.com,
2024-04-07T00:00:00Z,,17544371,17544371,37,4932169780559699.049519078389296341,11462811802150.765244995495296304,4932169780.559699,11462811.802150765,https://terra-classic-lcd.publicnode.com,
2024-04-14T00:00:00Z,,17645171,17645171,37,5018087092004516.300690956894694866,11808265037775.774665873026161326,5018087092.004516,11808265.037775775,https://terra-classic-lcd.publicnode.com,
